Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
DIO1	3.023305789	-5.020830705	-4.326675178	1.778924908
DIO2	66.12863385	-4.676304133	7.604532859	13.78291442
DRD3	7.346645278	5.7719043	1.16489984	14.77910077
EPO	1.033293612	-4.339987563	-5.088772709	-5.481810169
FGF1	33.80838544	22.66411173	62.72357573	-4.433632505
FOLR2	2.585147842	69.61453535	22.25312615	3.301048021
GAST	-0.8906309877	10.62802639	1.474798887	-5.105170811
GABRA1	4.780510986	19.15809696	16.6846048	74.15844618
GABRA4	15.35984276	17.43965847	11.54083957	75.050056
GABRB3	-3.093269789	-10.00579171	-15.82166783	69.00161275
GAD1	12.03984195	24.81075352	15.3754504	66.5076313
GART	30.77807774	20.19206793	33.09649725	38.25746223
GAS6	14.516247	35.71304045	20.76625358	42.66652024
GGCX	17.59834005	30.51913286	34.43364901	29.72067519
GHRHR	8.843392329	14.93273013	6.834081338	0.4875251695
GNRH1	8.850438946	7.136547321	11.25092978	-4.504956857
GRIN2A	-3.999474515	-5.956482478	0.7925834305	60.37172963
GRIN2B	8.838784413	-4.420595041	-6.240349916	75.35587375
GRIN2C	60.36710968	3.350700523	-1.642247463	5.377502361
GRIN2D	11.91116627	9.737180217	1.462740657	12.86812199
GRM1	0.8505587119	10.55909078	0.07133617711	54.80815014
GRM3	27.14020034	26.46541277	75.58016408	11.85416009
GRM8	6.814316412	-3.395352648	-0.7317167226	48.29296485
GSTM3	37.53431382	-2.44136219	-8.63989348	25.84880189
GSTP1	35.98364738	40.71250177	31.91359122	-8.893862525
GUCY1B3	0.7417949517	9.140159387	0.02990590307	76.66022837
GUK1	17.69011672	26.51158806	19.56942416	20.80179385
HRH1	11.97043778	9.343588957	-3.489471096	31.10890472
HTR1B	0.9118273687	8.487063709	0.8925012494	14.9208826
HTR3A	5.058885292	14.4324642	4.1473665	9.592458271
HTR6	-0.7451858532	6.872789138	4.153517875	17.38436836
ICAM2	26.52366145	23.98192196	20.3595349	3.885250248
IGF2R	16.9290318	28.75142554	38.88316768	15.32075282
IL1R1	18.99606093	13.74656591	6.476865368	8.087084824
IL5	7.961604929	-3.831592352	-1.67385214	-1.365414352
IL7	9.855170978	0.5379700063	-1.250919144	1.221532392
IL12A	9.601903682	1.047483634	5.658116215	-5.91796787
ITGB6	5.879977936	-8.116537134	-3.260344152	-0.6421412731
KITLG	6.824203888	10.92141772	5.010108606	47.24375048
MGP	16.60879094	18.85439634	8.443381236	2.119590681
NQO1	44.49054669	25.12723818	24.94999325	3.649374555
NQO2	-6.274380803	39.90576064	19.87754213	19.3401626
NPY	0.4635119548	17.55564703	15.81596807	10.30644321
NPR3	0.9205033034	10.84717679	3.161491559	11.75172287
NPY1R	15.03378629	7.872150498	4.937115042	54.7300007
NPY2R	-5.305735548	7.808086668	6.150037698	9.986116133
PDE3A	29.32026572	2.208944848	-2.704605603	23.47300119
PDE3B	28.23910541	-5.355226127	-7.868641585	25.43132492
PDHB	13.37626249	30.32055139	36.9136526	42.87299635
PGR	9.859307396	5.731351386	2.841783583	-2.270011975
PLA2G1B	4.164861957	8.51669594	4.519435352	3.338877274
PLA2G5	60.78172649	-6.030666403	1.47872866	7.703736129
PLAT	26.4893264	28.31890483	40.97743084	-2.425044351
SERPINF2	0.3529492859	7.347710101	-0.05081777403	-5.343627131
POLR2A	11.57097139	17.0859512	18.32158994	33.99517479
POLR2B	4.679915707	27.70340301	25.53414121	45.48698018
POMC	16.14863885	6.674057125	4.365664624	0.6293114545
POR	16.15776624	31.45785131	18.74592987	17.24110986
PPIB	33.69991401	34.1446701	44.4421245	17.80804961
PPIC	52.48934185	3.436242288	13.70869487	7.500788256
PRIM1	2.019370639	33.07919103	32.89957118	16.76663689
PRIM2	23.58064952	18.65973955	23.02691648	16.92158638
PRL	0.8338223777	-1.156041418	-3.373207504	4.678767956
PRLR	10.06921561	0.3838062928	-0.07199330168	17.1483783
PRRG1	17.94907098	33.45540644	117.8963588	3.106486926
PRRG2	-1.856121368	9.837924887	0.5009313927	-7.58356094
PTGDR	7.960265375	13.73380849	3.584056735	-1.103962687
PTGDS	51.99951914	30.02079617	64.71753524	-12.10356205
PTGER1	-4.048073231	17.40975469	3.898655005	-5.311165929
PTGER2	4.069560141	12.33846486	4.894645174	1.195631123
PTGFR	-2.109996018	0.3267990693	-7.758331508	6.079880937
PTGS1	-4.239918261	75.48273324	29.04175113	0.1808730649
RPL3	8.757481148	36.23605419	28.65452717	-3.363054725
RPL4	11.00267252	25.8322502	22.00274891	-7.039499127
RPL18	26.59416593	34.90505453	27.54692599	-4.999629123
RPL24	11.37142429	33.25761735	20.09308596	7.381284861
RPL30	24.48601883	40.963966	37.46999648	-3.065354712
RPL28	25.79333758	41.43843996	35.56038482	15.83325291
RPL36A	15.72731719	38.20617364	21.43444184	3.458002559
RPS3	22.19131164	41.83133458	34.00383506	0.4940904561
RPS5	6.589793709	42.47099288	27.29666168	-12.96237176
RPS10	15.38603704	40.218837	27.40237768	10.06377079
RPS16	19.14572058	40.30257709	29.44015677	-8.922137918
RPS23	13.98354122	41.63732725	28.67342497	-0.700969239
RPS27	27.6179015	36.13781157	31.53939919	0.1101266413
RRM1	8.081841287	33.86826644	35.45928374	22.75129298
SCN1B	-10.62151824	10.27167616	11.51587385	17.5877969
SCNN1A	3.384029788	-6.022014122	-3.864466801	-5.974068841
SHBG	6.527354244	3.840184736	-1.961165709	1.787423008
SLC6A2	4.110417017	-6.308210562	-5.263024005	0.3191458051
SLC6A4	4.638905446	3.068293618	1.1199425	2.99378817
SST	1.560144525	30.03569771	16.19593729	13.08731522
SSTR1	11.60488365	4.113854208	-0.7016846985	38.11330409
TACR3	3.220830986	13.26794588	12.54716888	5.906451048
TBXA2R	9.361624772	23.4549175	18.47873687	-5.971613652
TNFRSF1A	44.51672488	34.82176764	19.09305852	-4.176696071
TNFRSF1B	14.90596947	24.78822514	9.683578528	-7.869449101
